ID,Título,Categoria,Status,Versão / Sistema,Unnamed: 5
1416,Sistema não reconhece produto informado na etiqueta da balança,Nota Eletrônica do Consumidor - NFCe | SAT,Publicado,Clipp Store 2020,
1417,Parametrização de Tributos,Cadastros,Publicado,Clipp Store 2020,
1418,Conversão de CFOP,Cadastros,Publicado,Clipp Store 2020,
1419,Tipo de emissão configurado é diferente deste documento - Ao transmitir CT-e,CT-e,Publicado,Clipp Store 2020,
1423,Avisos do Clipp ao abrir o sistema,Manuais,Publicado,Clipp Store 2020,
1439,Imprimindo DAVs na impressora não fiscal,Orçamento / Pedido de venda - DAV,Publicado,Clipp Store 2020,
1442,Rejeição 828: CNPJ/CPF autorizado já declarado no CT-e (remet/dest/exped/receb/tom) - Ao emitir CT-e,CT-e,Publicado,Clipp Store 2020,
1443,Liberar porta 8080 - Firewall,Clipp Empresas,Publicado,Clipp Store 2020,
1444,Gerador de Relatórios,Diversos,Publicado,Clipp Store 2020,
1445,Utilizando o WhatsApp pelo Clipp PRO,Cadastros,Publicado,Clipp Store 2020,
1446,Etiquetas Customizadas,Estoque,Publicado,Clipp Store 2020,
1447,Integração com consulta ao SPC/FCDL,Cadastros,Publicado,Clipp Store 2020,
1448,Locação,Clipp Service,Publicado,Clipp Store 2020,
1459,Links para consulta de NFC-e,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Clipp Store 2020,
1460,Clipp Pedidos PRO,Manuais,Publicado,Clipp Store 2020,
1461,Error: Plataform version 63.0.3 is not compatible with - Ao gerar relatórios HTML com FireFox como padrão,Relatórios,Publicado,Clipp Store 2020,
1462,Relatório de Pré Vendas,Pré-Venda,Publicado,Clipp Store 2020,
1463,Venda Rápida - Cheff,Pré-Venda,Publicado,Clipp Store 2020,
1464,"Exportando Clientes, Fornecedores e estoque pelo Clipp",Cadastros,Publicado,Clipp Store 2020,
1467,Configuração do boleto CECRED/AILOS,Contas a Receber/Pagar,Publicado,Clipp Store 2020,
1468,Gerenciamento de cobranças,Contas a Receber/Pagar,Publicado,Clipp Store 2020,
1472,Rejeição: Operação interestadual para Consumidor Final e valor do FCP informado em campo diferente de vFCPUFDest,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1473,"Conforme indicação da SEFAZ, o controle de Inutilização de numeração não será aplicado para o emitente pessoa física - Ao inutilizar uma NF-e",Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1479,Status da VPN inválido no Hamachi,Integrações,Publicado,Clipp Store 2020,
1480,ECommerce,Integrações,Publicado,Clipp Store 2020,
1482,Lançamento Rápido,Orçamento / Pedido de venda - DAV,Publicado,Clipp Store 2020,
1487,Todos os documentos devem ter como destino a mesma UF - Ao emitir MDF-e,MDFe,Publicado,Clipp Store 2020,
1496,Integração com SkyHub,Integrações,Publicado,Clipp Store 2020,
1497,Guia para utilização da integração com SkyHub,Integrações,Publicado,Clipp Store 2020,
1498,Configuração do SkyHub no Clipp,Integrações,Publicado,Clipp Store 2020,
1499,Anunciando produtos no SkyHub,Integrações,Publicado,Clipp Store 2020,
1501,Pedidos na SkyHub,Integrações,Publicado,Clipp Store 2020,
1502,Gerenciando as Entregas - SkyHub,Integrações,Publicado,Clipp Store 2020,
1511,Importando DAV para NF-e,Orçamento / Pedido de venda - DAV,Publicado,Clipp Store 2020,
1514,"Não foi possível realizar a consulta! Usuário e senha incorretos, senha expirada - Ao utilizar o SPC",Integrações,Publicado,Clipp Store 2020,
1516,Liberar acesso completo à pasta AppData,Instalação,Publicado,Clipp Store 2020,
1517,Rejeição: Emissor não habilitado para emissão da NFC-e: Contribuinte sem permissão de emissão de NFCe. Não possui MFE ativado,MFe,Publicado,Clipp Store 2020,
1519,"Falha na validação dos dados do Manifesto, TAG: < infModal=""3.00"" > (Chave de acesso das NF-e referenciadas)",MDFe,Publicado,Clipp Store 2020,
1521,Unable to send MailFrom - Ao enviar e-mail pelo Clipp,Instalação,Publicado,Clipp Store 2020,
1522,Mercado Pago,Integrações,Publicado,Clipp Store 2020,
1523,Informar código de Benefício Fiscal,Pré-Venda,Publicado,Clipp Store 2020,
1524,Unable to connect to the remote server - Ao transmitir NFC-e no Ceará,Nota Eletrônica do Consumidor - NFCe | SAT,Publicado,Clipp Store 2020,
1526,Como desativar o horário de verão - Windows 7 e 10,Manuais,Publicado,Clipp Store 2020,
1529,Shipay,Integrações,Publicado,Clipp Store 2020,
